"","Host","Amenity"
"763",86,"Laptop friendly workspace"
"764",86,"Essentials"
"765",86,"Hangers"
"766",86,"Heating"
"767",86,"Kitchen"
"768",86,"Wireless Internet"
"769",87,"Breakfast"
"770",87,"Internet"
"771",87,"Heating"
"772",87,"TV"
"773",87,"Kitchen"
"774",87,"Wireless Internet"
"775",88,"Breakfast"
"776",88,"Internet"
"777",88,"Dryer"
"778",88,"Laptop friendly workspace"
"779",88,"Hair dryer"
"780",88,"Iron"
"781",88,"Essentials"
"782",88,"Hangers"
"783",88,"Heating"
"784",88,"Washer"
"785",88,"TV"
"786",88,"Kitchen"
"787",88,"Private living room"
"788",88,"Wireless Internet"
"789",89,"Internet"
"790",89,"Laptop friendly workspace"
"791",89,"Hair dryer"
"792",89,"Iron"
"793",89,"Essentials"
"794",89,"Hangers"
"795",89,"Heating"
"796",89,"Washer"
"797",89,"TV"
"798",89,"Kitchen"
"799",89,"Private entrance"
"800",89,"Wireless Internet"
"801",90,"Cable TV"
"802",90,"Internet"
"803",90,"Laptop friendly workspace"
"804",90,"Hair dryer"
"805",90,"Essentials"
"806",90,"Hangers"
"807",90,"Heating"
"808",90,"TV"
"809",90,"Wireless Internet"
"810",91,"Cable TV"
"811",91,"Internet"
"812",91,"Laptop friendly workspace"
"813",91,"Hair dryer"
"814",91,"Iron"
"815",91,"Hangers"
"816",91,"Heating"
"817",91,"Washer"
"818",91,"TV"
"819",91,"Kitchen"
"820",91,"Wireless Internet"
"821",92,"Cable TV"
"822",92,"Internet"
"823",92,"Dryer"
"824",92,"Laptop friendly workspace"
"825",92,"Hair dryer"
"826",92,"Iron"
"827",92,"Essentials"
"828",92,"Hangers"
"829",92,"Heating"
"830",92,"TV"
"831",92,"Kitchen"
"832",92,"Wireless Internet"
"833",93,"Internet"
"834",93,"Dryer"
"835",93,"Laptop friendly workspace"
"836",93,"Hair dryer"
"837",93,"Iron"
"838",93,"Essentials"
"839",93,"Hangers"
"840",93,"Heating"
"841",93,"Washer"
"842",93,"Kitchen"
"843",93,"Wireless Internet"
"844",94,"Breakfast"
"845",94,"Internet"
"846",94,"Essentials"
"847",94,"Heating"
"848",94,"Kitchen"
"849",94,"Wireless Internet"
"850",95,"Internet"
"851",95,"Laptop friendly workspace"
"852",95,"Hair dryer"
"853",95,"Essentials"
"854",95,"Hangers"
"855",95,"Heating"
"856",95,"Washer"
"857",95,"Kitchen"
"858",95,"Private living room"
"859",95,"Wireless Internet"
"860",96,"Cable TV"
"861",96,"Internet"
"862",96,"Dryer"
"863",96,"Laptop friendly workspace"
"864",96,"Iron"
"865",96,"Essentials"
"866",96,"Hangers"
"867",96,"Wheelchair accessible"
"868",96,"Heating"
"869",96,"Washer"
"870",96,"TV"
"871",96,"Kitchen"
"872",96,"Wireless Internet"
"873",97,"Internet"
"874",97,"Dryer"
"875",97,"Essentials"
"876",97,"Heating"
"877",97,"Washer"
"878",97,"TV"
"879",97,"Kitchen"
"880",97,"Wireless Internet"
"881",98,"Internet"
"882",98,"Laptop friendly workspace"
"883",98,"Hair dryer"
"884",98,"Essentials"
"885",98,"Hangers"
"886",98,"Heating"
"887",98,"TV"
"888",98,"Kitchen"
"889",98,"Wireless Internet"
"890",99,"Internet"
"891",99,"Dryer"
"892",99,"Hair dryer"
"893",99,"Iron"
"894",99,"Suitable for events"
"895",99,"Essentials"
"896",99,"Hangers"
"897",99,"Heating"
"898",99,"Washer"
"899",99,"TV"
"900",99,"Kitchen"
"901",99,"Wireless Internet"
"902",100,"Essentials"
"903",100,"Heating"
"904",100,"Kitchen"
"905",101,"Breakfast"
"906",101,"Cable TV"
"907",101,"Internet"
"908",101,"Laptop friendly workspace"
"909",101,"Hair dryer"
"910",101,"Iron"
"911",101,"Essentials"
"912",101,"Hangers"
"913",101,"Heating"
"914",101,"TV"
"915",101,"Wireless Internet"
"916",102,"Cable TV"
"917",102,"Internet"
"918",102,"Hair dryer"
"919",102,"Essentials"
"920",102,"Heating"
"921",102,"TV"
"922",102,"Kitchen"
"923",102,"Wireless Internet"
"924",103,"Cable TV"
"925",103,"Internet"
"926",103,"Hair dryer"
"927",103,"Iron"
"928",103,"Essentials"
"929",103,"Hangers"
"930",103,"Heating"
"931",103,"TV"
"932",103,"Kitchen"
"933",103,"Wireless Internet"
"934",104,"Internet"
"935",104,"Laptop friendly workspace"
"936",104,"Essentials"
"937",104,"Hangers"
"938",104,"Heating"
"939",104,"Washer"
"940",104,"Kitchen"
"941",104,"Wireless Internet"
"942",105,"Internet"
"943",105,"Essentials"
"944",105,"Hangers"
"945",105,"Heating"
"946",105,"Washer"
"947",105,"TV"
"948",105,"Kitchen"
"949",105,"Wireless Internet"
"950",106,"Internet"
"951",106,"Laptop friendly workspace"
"952",106,"Hair dryer"
"953",106,"Essentials"
"954",106,"Hangers"
"955",106,"Heating"
"956",106,"TV"
"957",106,"Kitchen"
"958",106,"Wireless Internet"
"959",107,"Internet"
"960",107,"Essentials"
"961",107,"Hangers"
"962",107,"Heating"
"963",107,"TV"
"964",107,"Kitchen"
"965",107,"Private living room"
"966",107,"Wireless Internet"
"967",108,"Internet"
"968",108,"Dryer"
"969",108,"Hair dryer"
"970",108,"Iron"
"971",108,"Essentials"
"972",108,"Hangers"
"973",108,"Heating"
"974",108,"Washer"
"975",108,"Wireless Internet"
"976",109,"Internet"
"977",109,"Laptop friendly workspace"
"978",109,"Hair dryer"
"979",109,"Iron"
"980",109,"Essentials"
"981",109,"Hangers"
"982",109,"Heating"
"983",109,"Washer"
"984",109,"TV"
"985",109,"Kitchen"
"986",109,"Wireless Internet"
"987",110,"Internet"
"988",110,"Dryer"
"989",110,"Essentials"
"990",110,"Wheelchair accessible"
"991",110,"Heating"
"992",110,"Washer"
"993",110,"TV"
"994",110,"Kitchen"
"995",110,"Wireless Internet"
"996",111,"Internet"
"997",111,"Laptop friendly workspace"
"998",111,"Hair dryer"
"999",111,"Iron"
"1000",111,"Essentials"
"1001",111,"Hangers"
"1002",111,"Heating"
"1003",111,"TV"
"1004",111,"Kitchen"
"1005",111,"Wireless Internet"
"1006",112,"Internet"
"1007",112,"Laptop friendly workspace"
"1008",112,"Essentials"
"1009",112,"Hangers"
"1010",112,"Heating"
"1011",112,"TV"
"1012",112,"Kitchen"
"1013",112,"Wireless Internet"
"1014",113,"Internet"
"1015",113,"Dryer"
"1016",113,"Essentials"
"1017",113,"Heating"
"1018",113,"Washer"
"1019",113,"Wireless Internet"
"1020",114,"Internet"
"1021",114,"Iron"
"1022",114,"Essentials"
"1023",114,"Hangers"
"1024",114,"Heating"
"1025",114,"Washer"
"1026",114,"TV"
"1027",114,"Kitchen"
"1028",114,"Wireless Internet"
"1029",115,"Internet"
"1030",115,"Laptop friendly workspace"
"1031",115,"Hair dryer"
"1032",115,"Iron"
"1033",115,"Essentials"
"1034",115,"Hangers"
"1035",115,"Heating"
"1036",115,"TV"
"1037",115,"Kitchen"
"1038",115,"Wireless Internet"
"1039",116,"Internet"
"1040",116,"Hair dryer"
"1041",116,"Essentials"
"1042",116,"Heating"
"1043",116,"Kitchen"
"1044",116,"Private entrance"
"1045",116,"Wireless Internet"
"1046",117,"Laptop friendly workspace"
"1047",117,"Hair dryer"
"1048",117,"Essentials"
"1049",117,"Hangers"
"1050",117,"Heating"
"1051",117,"Washer"
"1052",117,"Kitchen"
"1053",118,"Internet"
"1054",118,"Dryer"
"1055",118,"Hair dryer"
"1056",118,"Iron"
"1057",118,"Essentials"
"1058",118,"Hangers"
"1059",118,"Heating"
"1060",118,"Washer"
"1061",118,"Kitchen"
"1062",118,"Wireless Internet"
"1063",119,"Internet"
"1064",119,"Dryer"
"1065",119,"Laptop friendly workspace"
"1066",119,"Hair dryer"
"1067",119,"Iron"
"1068",119,"Essentials"
"1069",119,"Hangers"
"1070",119,"Heating"
"1071",119,"Washer"
"1072",119,"Kitchen"
"1073",119,"Wireless Internet"
"1074",120,"Internet"
"1075",120,"Essentials"
"1076",120,"Heating"
"1077",120,"Kitchen"
"1078",120,"Wireless Internet"
"1079",121,"Internet"
"1080",121,"Dryer"
"1081",121,"Laptop friendly workspace"
"1082",121,"Iron"
"1083",121,"Essentials"
"1084",121,"Hangers"
"1085",121,"Heating"
"1086",121,"Washer"
"1087",121,"TV"
"1088",121,"Kitchen"
"1089",121,"Wireless Internet"
"1090",121,"Bathtub"
"1091",121,"Crib"
"1092",122,"Internet"
"1093",122,"Hangers"
"1094",122,"Heating"
"1095",122,"TV"
"1096",122,"Kitchen"
"1097",122,"Wireless Internet"
